Series Code,Series Name
DP.DOD.DECD.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECN.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECX.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DECF.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECT.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.MV.CG.Z1,"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.CG.Z1,"Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLD1.CR.CG.Z1,"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP"
DP.DOD.DLD2.CR.CG.Z1,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLD2A.CR.CG.Z1,"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP"
DP.DOD.DLD3.CR.CG.Z1,"Gross PSD, Central Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLD4.CR.CG.Z1,"Gross PSD, Central Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP"
